Accident year,Casualty severity,Road user,Speed limit,Accident month,Accident hour,Casualties,
2017,Killed,Pedestrian,1-20 mph,January,14,1,
2017,Killed,Pedestrian,1-20 mph,January,21,1,
2017,Killed,Pedestrian,1-20 mph,March,12,1,
2017,Killed,Pedestrian,1-20 mph,March,22,1,
2017,Killed,Pedestrian,1-20 mph,April,2,1,
2017,Killed,Pedestrian,1-20 mph,April,12,1,
2017,Killed,Pedestrian,1-20 mph,April,15,1,
2017,Killed,Pedestrian,1-20 mph,May,16,1,
2017,Killed,Pedestrian,1-20 mph,June,10,1,
2017,Killed,Pedestrian,1-20 mph,June,12,1,
2017,Killed,Pedestrian,1-20 mph,July,11,1,
2017,Killed,Pedestrian,1-20 mph,July,12,1,
2017,Killed,Pedestrian,1-20 mph,August,12,1,
2017,Killed,Pedestrian,1-20 mph,August,23,1,
2017,Killed,Pedestrian,1-20 mph,September,0,1,
2017,Killed,Pedestrian,1-20 mph,September,12,1,
2017,Killed,Pedestrian,1-20 mph,October,7,1,
2017,Killed,Pedestrian,1-20 mph,October,15,1,
2017,Killed,Pedestrian,1-20 mph,October,17,1,
2017,Killed,Pedestrian,1-20 mph,October,18,1,
2017,Killed,Pedestrian,1-20 mph,October,22,1,
2017,Killed,Pedestrian,1-20 mph,November,10,2,
2017,Killed,Pedestrian,1-20 mph,November,11,1,
2017,Killed,Pedestrian,1-20 mph,November,14,2,
2017,Killed,Pedestrian,1-20 mph,November,19,2,
2017,Killed,Pedestrian,1-20 mph,December,10,1,
2017,Killed,Pedestrian,21-30 mph,January,1,1,
2017,Killed,Pedestrian,21-30 mph,January,5,2,
2017,Killed,Pedestrian,21-30 mph,January,7,4,
2017,Killed,Pedestrian,21-30 mph,January,8,1,
2017,Killed,Pedestrian,21-30 mph,January,9,2,
2017,Killed,Pedestrian,21-30 mph,January,10,3,
2017,Killed,Pedestrian,21-30 mph,January,12,1,
2017,Killed,Pedestrian,21-30 mph,January,14,1,
2017,Killed,Pedestrian,21-30 mph,January,16,2,
2017,Killed,Pedestrian,21-30 mph,January,17,5,
2017,Killed,Pedestrian,21-30 mph,January,18,2,
2017,Killed,Pedestrian,21-30 mph,January,20,2,
2017,Killed,Pedestrian,21-30 mph,January,21,1,
2017,Killed,Pedestrian,21-30 mph,January,22,3,
2017,Killed,Pedestrian,21-30 mph,January,23,1,
2017,Killed,Pedestrian,21-30 mph,February,0,1,
2017,Killed,Pedestrian,21-30 mph,February,8,1,
2017,Killed,Pedestrian,21-30 mph,February,9,1,
2017,Killed,Pedestrian,21-30 mph,February,10,5,
2017,Killed,Pedestrian,21-30 mph,February,11,2,
2017,Killed,Pedestrian,21-30 mph,February,12,1,
2017,Killed,Pedestrian,21-30 mph,February,13,1,
2017,Killed,Pedestrian,21-30 mph,February,14,1,
2017,Killed,Pedestrian,21-30 mph,February,15,2,
2017,Killed,Pedestrian,21-30 mph,February,16,1,
2017,Killed,Pedestrian,21-30 mph,February,17,3,
2017,Killed,Pedestrian,21-30 mph,February,18,5,
2017,Killed,Pedestrian,21-30 mph,February,19,4,
2017,Killed,Pedestrian,21-30 mph,February,23,3,
2017,Killed,Pedestrian,21-30 mph,March,1,1,
2017,Killed,Pedestrian,21-30 mph,March,4,1,
2017,Killed,Pedestrian,21-30 mph,March,7,1,
2017,Killed,Pedestrian,21-30 mph,March,9,1,
2017,Killed,Pedestrian,21-30 mph,March,10,3,
2017,Killed,Pedestrian,21-30 mph,March,11,1,
2017,Killed,Pedestrian,21-30 mph,March,12,1,
2017,Killed,Pedestrian,21-30 mph,March,13,3,
2017,Killed,Pedestrian,21-30 mph,March,14,1,
2017,Killed,Pedestrian,21-30 mph,March,15,2,
2017,Killed,Pedestrian,21-30 mph,March,16,2,
2017,Killed,Pedestrian,21-30 mph,March,17,2,
2017,Killed,Pedestrian,21-30 mph,March,18,3,
2017,Killed,Pedestrian,21-30 mph,March,19,2,
2017,Killed,Pedestrian,21-30 mph,March,20,3,
2017,Killed,Pedestrian,21-30 mph,March,21,1,
2017,Killed,Pedestrian,21-30 mph,April,4,1,
2017,Killed,Pedestrian,21-30 mph,April,9,1,
2017,Killed,Pedestrian,21-30 mph,April,10,2,
2017,Killed,Pedestrian,21-30 mph,April,11,1,
2017,Killed,Pedestrian,21-30 mph,April,12,1,
2017,Killed,Pedestrian,21-30 mph,April,13,1,
2017,Killed,Pedestrian,21-30 mph,April,14,1,
2017,Killed,Pedestrian,21-30 mph,April,16,2,
2017,Killed,Pedestrian,21-30 mph,April,17,1,
2017,Killed,Pedestrian,21-30 mph,April,18,1,
