Accident year,Casualty severity,Casualty sex,Casualty age,Road type,Weather condition,Casualties,
2017,Killed,Male,1,Dual carriageway,Fine no high winds,1,
2017,Killed,Male,2,Single carriageway,Fine no high winds,1,
2017,Killed,Male,3,Single carriageway,Fine no high winds,1,
2017,Killed,Male,4,Single carriageway,Fine no high winds,2,
2017,Killed,Male,5,Single carriageway,Fine no high winds,2,
2017,Killed,Male,5,Single carriageway,Fine + high winds,1,
2017,Killed,Male,6,Single carriageway,Fine no high winds,1,
2017,Killed,Male,7,Single carriageway,Fine no high winds,2,
2017,Killed,Male,7,Single carriageway,Raining no high winds,1,
2017,Killed,Male,8,Single carriageway,Fine no high winds,1,
2017,Killed,Male,9,Dual carriageway,Fine no high winds,1,
2017,Killed,Male,11,Roundabout,Fine no high winds,1,
2017,Killed,Male,12,Single carriageway,Fine no high winds,3,
2017,Killed,Male,13,Single carriageway,Fine no high winds,2,
2017,Killed,Male,14,Dual carriageway,Fine no high winds,1,
2017,Killed,Male,14,Single carriageway,Fine no high winds,2,
2017,Killed,Male,15,Dual carriageway,Fine no high winds,1,
2017,Killed,Male,15,Single carriageway,Fine no high winds,3,
2017,Killed,Male,15,Single carriageway,Other,1,
2017,Killed,Male,16,Single carriageway,Fine no high winds,8,
2017,Killed,Male,16,Single carriageway,Raining + high winds,1,
2017,Killed,Male,17,Dual carriageway,Fine no high winds,4,
2017,Killed,Male,17,Single carriageway,Fine no high winds,13,
2017,Killed,Male,17,Single carriageway,Raining no high winds,4,
2017,Killed,Male,17,Single carriageway,Raining + high winds,1,
2017,Killed,Male,17,Single carriageway,Other,1,
2017,Killed,Male,18,Roundabout,Raining no high winds,1,
2017,Killed,Male,18,Dual carriageway,Fine no high winds,4,
2017,Killed,Male,18,Dual carriageway,Raining no high winds,2,
2017,Killed,Male,18,Single carriageway,Unknown,1,
2017,Killed,Male,18,Single carriageway,Fine no high winds,20,
2017,Killed,Male,18,Single carriageway,Raining no high winds,2,
2017,Killed,Male,18,Single carriageway,Fog or mist,1,
2017,Killed,Male,18,Single carriageway,Other,1,
2017,Killed,Male,19,Roundabout,Fine no high winds,1,
2017,Killed,Male,19,Dual carriageway,Fine no high winds,2,
2017,Killed,Male,19,Single carriageway,Unknown,1,
2017,Killed,Male,19,Single carriageway,Fine no high winds,16,
2017,Killed,Male,19,Single carriageway,Raining no high winds,2,
2017,Killed,Male,19,Single carriageway,Fog or mist,1,
2017,Killed,Male,20,Unknown,Fine no high winds,1,
2017,Killed,Male,20,One way street,Fine no high winds,1,
2017,Killed,Male,20,Dual carriageway,Fine no high winds,3,
2017,Killed,Male,20,Dual carriageway,Raining + high winds,1,
2017,Killed,Male,20,Single carriageway,Fine no high winds,14,
2017,Killed,Male,20,Single carriageway,Raining no high winds,3,
2017,Killed,Male,20,Single carriageway,Fine + high winds,2,
2017,Killed,Male,20,Single carriageway,Raining + high winds,1,
2017,Killed,Male,20,Single carriageway,Other,1,
2017,Killed,Male,21,Dual carriageway,Fine no high winds,3,
2017,Killed,Male,21,Dual carriageway,Raining no high winds,2,
2017,Killed,Male,21,Single carriageway,Fine no high winds,16,
2017,Killed,Male,21,Single carriageway,Raining no high winds,2,
